i,Naive,Preprocess,D&C,Dynamic
538000,0,0,715658,688381
539000,0,0,277259,771289
540000,0,0,487822,752899
541000,0,0,883265,794733
542000,0,0,566275,744828
543000,0,0,228249,747880
544000,0,0,842979,713069
545000,0,0,69769,693356
546000,0,0,566688,612660
547000,0,0,109353,623892
548000,0,0,593034,616446
549000,0,0,209512,605727
550000,0,0,167219,613172
551000,0,0,220050,618465
552000,0,0,197843,628059
553000,0,0,264296,643652
554000,0,0,455760,662470
555000,0,0,653846,631215
556000,0,0,255346,620389
557000,0,0,244776,612596
558000,0,0,157736,604761
559000,0,0,247802,602856
560000,0,0,285312,623091
561000,0,0,532815,643766
562000,0,0,524121,638508
563000,0,0,555262,644140
564000,0,0,569477,645887
565000,0,0,900761,782007
566000,0,0,681953,741168
567000,0,0,645894,616615
568000,0,0,312265,624354
569000,0,0,406142,633958
570000,0,0,514102,637021
571000,0,0,617678,670244
572000,0,0,493219,630673
573000,0,0,541842,668372
574000,0,0,905802,690187
575000,0,0,82057,655334
576000,0,0,514047,623467
577000,0,0,350161,619150
578000,0,0,382636,629873
579000,0,0,465663,638593
580000,0,0,809695,673820
581000,0,0,773788,665560
582000,0,0,755757,652015
583000,0,0,596679,623476
584000,0,0,483618,623806
585000,0,0,424992,621934
586000,0,0,491566,630123
587000,0,0,536840,640629
588000,0,0,627036,666279
589000,0,0,621069,668485
590000,0,0,196125,718331
591000,0,0,85602,692210
592000,0,0,926865,676743
593000,0,0,164817,722914
594000,0,0,997523,676760
595000,0,0,842457,658497
596000,0,0,629448,648305
597000,0,0,614526,686321
598000,0,0,923903,665085
599000,0,0,927308,678717
600000,0,0,929249,683064
601000,0,0,23685,668841
602000,0,0,102323,709185
603000,0,0,401205,813550
604000,0,0,96818,859519
605000,0,0,609790,717839
606000,0,0,300715,724911
607000,0,0,397582,670080
608000,0,0,817051,671672
609000,0,0,890567,693271
610000,0,0,449135,866521
611000,0,0,791263,721558
612000,0,0,106706,715215
613000,0,0,799844,798544
614000,0,0,435807,683929
615000,0,0,817456,661911
616000,0,0,909207,705457
617000,0,0,213309,734417
618000,0,0,382114,715138
619000,0,0,226287,712286
620000,0,0,693522,786222
621000,0,0,345169,685232
622000,0,0,403,692704
623000,0,0,156949,742705
624000,0,0,595350,770672
625000,0,0,99661,850131
626000,0,0,548139,815848
627000,0,0,566891,693544
628000,0,0,281392,752184
629000,0,0,922319,742375
630000,0,0,394183,736961
631000,0,0,149810,689604
632000,0,0,12176,678160
633000,0,0,957073,677157
634000,0,0,34080,689025
635000,0,0,187713,717808
636000,0,0,324401,732293
637000,0,0,269105,725796
638000,0,0,860965,764739
639000,0,0,347305,711865
640000,0,0,267767,714224
641000,0,0,123732,708740
642000,0,0,84229,703535
643000,0,0,117388,702193
644000,0,0,71724,703116
645000,0,0,126753,718993
646000,0,0,419750,727188
647000,0,0,284605,731719
648000,0,0,855296,835196
649000,0,0,122454,749113
650000,0,0,408007,720654
651000,0,0,216604,713256
652000,0,0,338009,731666
653000,0,0,394827,737695
654000,0,0,305851,722845
655000,0,0,201760,706907
656000,0,0,152422,716589
657000,0,0,258229,722260
658000,0,0,808026,858463
659000,0,0,932225,749270
660000,0,0,856295,862259
661000,0,0,453889,931441
662000,0,0,314226,670318
663000,0,0,832080,666028
664000,0,0,751157,671421
665000,0,0,771949,677946
666000,0,0,770404,679010
667000,0,0,753009,672939
668000,0,0,816187,672520
669000,0,0,874849,710375
670000,0,0,950089,677839
671000,0,0,778915,687003
672000,0,0,866960,681752
673000,0,0,830953,679148
674000,0,0,833205,680027
675000,0,0,896208,681072
676000,0,0,886632,682070
677000,0,0,872147,682063
678000,0,0,883850,674664
679000,0,0,840719,687462
680000,0,0,899359,694060
681000,0,0,950808,688580
682000,0,0,932979,707915
683000,0,0,17178,691573
684000,0,0,978325,706979
685000,0,0,935884,685759
686000,0,0,949557,687637
687000,0,0,925487,697872
688000,0,0,996646,687256
689000,0,0,988736,691910
690000,0,0,39149,708531
691000,0,0,45052,706824
692000,0,0,41415,695309
693000,0,0,41063,696315
694000,0,0,47863,704991
695000,0,0,17761,698438
696000,0,0,97687,705139
697000,0,0,43213,699804
698000,0,0,79267,708941
699000,0,0,40589,705093
700000,0,0,96908,707002
701000,0,0,100449,723403
702000,0,0,121602,703602
703000,0,0,117043,703251
704000,0,0,107742,722063
705000,0,0,175880,713938
706000,0,0,146433,712747
707000,0,0,176271,714531
708000,0,0,132177,717135
709000,0,0,130767,705639
710000,0,0,149432,716848
711000,0,0,136598,705811
712000,0,0,173117,721756
713000,0,0,230165,719788
714000,0,0,216831,716909
715000,0,0,188216,708443
716000,0,0,221694,712286
717000,0,0,188799,722296
718000,0,0,214120,725799
719000,0,0,246785,722553
720000,0,0,268018,721104
721000,0,0,242190,726038
722000,0,0,311231,729885
723000,0,0,374216,724095
724000,0,0,300610,729951
725000,0,0,427895,736643
726000,0,0,368165,732743
727000,0,0,298436,740703
728000,0,0,342976,728515
729000,0,0,329346,731102
730000,0,0,359888,737559
731000,0,0,337832,734785
732000,0,0,325256,737366
733000,0,0,338449,743355
734000,0,0,378390,739528
735000,0,0,431699,745178
736000,0,0,386912,748532
737000,0,0,379351,731887
738000,0,0,415177,745862
739000,0,0,483352,748240
740000,0,0,458385,741103
741000,0,0,455980,753603
742000,0,0,497272,758178
743000,0,0,507695,755024
744000,0,0,610607,748473
745000,0,0,541416,753864
746000,0,0,579791,751525
747000,0,0,551818,758521
748000,0,0,647167,757591
749000,0,0,594800,762904
750000,0,0,592541,758199
751000,0,0,568169,761287
752000,0,0,693032,761039
753000,0,0,578532,760335
754000,0,0,692634,766683
755000,0,0,647553,765843
756000,0,0,647491,763205
757000,0,0,664925,769452
758000,0,0,650172,767011
759000,0,0,641629,760318
760000,0,0,706293,763048
761000,0,0,642731,766379
762000,0,0,662612,767828
763000,0,0,651527,765494
764000,0,0,644567,769990
765000,0,0,612402,771656
766000,0,0,722077,779893
767000,0,0,723217,779390
768000,0,0,734112,787388
769000,0,0,684525,775246
770000,0,0,698880,777794
771000,0,0,675494,782074
772000,0,0,746575,774987
773000,0,0,774854,781479
774000,0,0,778546,800575
775000,0,0,831308,783842
776000,0,0,772224,775942
777000,0,0,802238,776366
778000,0,0,785495,786581
779000,0,0,972602,786264
780000,0,0,873220,783452
781000,0,0,811348,789312
782000,0,0,836562,785952
783000,0,0,816913,785603
784000,0,0,889552,791458
785000,0,0,896753,790726
786000,0,0,941641,785885
787000,0,0,903466,787453
788000,0,0,923396,794824
789000,0,0,906753,798808
790000,0,0,998404,799210
791000,0,0,74362,798952
792000,0,0,983847,799115
793000,0,0,998467,801546
794000,0,0,6336,799532
795000,0,0,972915,805106
796000,0,0,46136,806397
797000,0,0,7326,799553
798000,0,0,63049,797423
799000,0,0,927288,802559
800000,0,0,976279,798613
801000,0,0,912319,804113
802000,0,0,29363,796314
803000,0,0,964714,811951
804000,0,0,82335,805197
805000,0,0,22292,808574
806000,0,0,55191,815382
807000,0,0,60068,813905
808000,0,0,122539,813553
809000,0,0,5986,821178
810000,0,0,44098,812978
811000,0,0,62430,831840
812000,0,0,124289,815939
813000,0,0,50072,826536
814000,0,0,158563,845557
815000,0,0,150216,819795
816000,0,0,75647,814517
817000,0,0,123217,819371
818000,0,0,200235,828569
819000,0,0,197596,822449
820000,0,0,192957,826333
821000,0,0,184544,828215
822000,0,0,343747,827973
823000,0,0,234167,837968
824000,0,0,220798,831830
825000,0,0,228630,827177
826000,0,0,435283,841986
827000,0,0,225029,832777
828000,0,0,200491,836846
829000,0,0,256859,834785
830000,0,0,332419,833953
831000,0,0,263586,826594
832000,0,0,293555,834411
833000,0,0,274540,836418
834000,0,0,328724,837257
835000,0,0,329476,838156
836000,0,0,328837,837984
837000,0,0,386038,838915
838000,0,0,339057,846823
839000,0,0,306168,845529
840000,0,0,442828,843024
841000,0,0,415003,851791
842000,0,0,390179,840918
843000,0,0,378012,847193
844000,0,0,409074,853497
845000,0,0,397096,845412
846000,0,0,390218,847066
847000,0,0,393647,850741
848000,0,0,392221,850861
849000,0,0,409497,850641
850000,0,0,446179,848078
851000,0,0,456139,847609
852000,0,0,475871,850456
853000,0,0,514715,852401
854000,0,0,567985,857389
855000,0,0,527061,855924
856000,0,0,503828,852204
857000,0,0,499619,865730
858000,0,0,588265,863504
859000,0,0,515445,859564
860000,0,0,542650,863885
861000,0,0,516285,858746
862000,0,0,618310,869144
863000,0,0,558605,862636
864000,0,0,510837,862293
865000,0,0,525817,871752
866000,0,0,544585,862436
867000,0,0,551641,862968
868000,0,0,564679,866581
869000,0,0,523011,864613
870000,0,0,569895,873150
871000,0,0,568483,872729
